"","Package","Version"
"abind","abind","1.4-5"
"askpass","askpass","1.1"
"assertthat","assertthat","0.2.1"
"backports","backports","1.4.1"
"base64enc","base64enc","0.1-3"
"BH","BH","1.78.0-0"
"bit","bit","4.0.5"
"bit64","bit64","4.0.5"
"blob","blob","1.2.3"
"brew","brew","1.0-8"
"brio","brio","1.1.3"
"broom","broom","1.0.4"
"bslib","bslib","0.4.1"
"cachem","cachem","1.0.6"
"callr","callr","3.7.3"
"car","car","3.1-1"
"carData","carData","3.0-5"
"cellranger","cellranger","1.1.0"
"checkmate","checkmate","2.1.0"
"cli","cli","3.6.0"
"clipr","clipr","0.8.0"
"cmdstanr","cmdstanr","0.5.3"
"coda","coda","0.19-4"
"colorspace","colorspace","2.0-3"
"colourpicker","colourpicker","1.2.0"
"commonmark","commonmark","1.8.1"
"conflicted","conflicted","1.2.0"
"corrplot","corrplot","0.92"
"cowplot","cowplot","1.1.1"
"cpp11","cpp11","0.4.3"
"crayon","crayon","1.5.2"
"credentials","credentials","1.3.2"
"curl","curl","4.3.3"
"dagitty","dagitty","0.3-1"
"data.table","data.table","1.14.6"
"DBI","DBI","1.1.3"
"dbplyr","dbplyr","2.3.1"
"deldir","deldir","1.0-6"
"desc","desc","1.4.2"
"devtools","devtools","2.4.5"
"diffobj","diffobj","0.3.5"
"digest","digest","0.6.30"
"distributional","distributional","0.3.1"
"downlit","downlit","0.4.2"
"dplyr","dplyr","1.1.0"
"dtplyr","dtplyr","1.2.2"
"ellipsis","ellipsis","0.3.2"
"evaluate","evaluate","0.18"
"fansi","fansi","1.0.3"
"farver","farver","2.1.1"
"fastmap","fastmap","1.1.0"
"fontawesome","fontawesome","0.4.0"
"forcats","forcats","1.0.0"
"Formula","Formula","1.2-4"
"fs","fs","1.5.2"
"gargle","gargle","1.2.1"
"generics","generics","0.1.3"
"gert","gert","1.9.1"
"ggdag","ggdag","0.2.8"
"ggExtra","ggExtra","0.10.0"
"ggforce","ggforce","0.4.1"
"ggplot2","ggplot2","3.4.1"
"ggpubr","ggpubr","0.5.0"
"ggraph","ggraph","2.1.0"
"ggrepel","ggrepel","0.9.2"
"ggsci","ggsci","2.9"
"ggsignif","ggsignif","0.6.4"
"ggthemes","ggthemes","4.2.4"
"glue","glue","1.6.2"
"googledrive","googledrive","2.0.0"
"googlesheets4","googlesheets4","1.0.1"
"graphlayouts","graphlayouts","1.0.0"
"gridExtra","gridExtra","2.3"
"gtable","gtable","0.3.1"
"haven","haven","2.5.1"
"highr","highr","0.9"
"Hmisc","Hmisc","4.7-2"
"hms","hms","1.1.2"
"htmlTable","htmlTable","2.4.1"
"htmltools","htmltools","0.5.3"
"htmlwidgets","htmlwidgets","1.5.4"
"httpuv","httpuv","1.6.6"
"httr","httr","1.4.4"
"ids","ids","1.0.1"
"inline","inline","0.3.19"
"interp","interp","1.1-3"
"isoband","isoband","0.2.6"
"jpeg","jpeg","0.1-10"
"jquerylib","jquerylib","0.1.4"
"jsonlite","jsonlite","1.8.4"
"kableExtra","kableExtra","1.3.4"
"knitr","knitr","1.41"
"labeling","labeling","0.4.2"
"later","later","1.3.0"
"latex2exp","latex2exp","0.9.6"
"latticeExtra","latticeExtra","0.6-30"
"lifecycle","lifecycle","1.0.3"
"loo","loo","2.5.1"
"lubridate","lubridate","1.9.2"
"magrittr","magrittr","2.0.3"
"markdown","markdown","1.4"
"Matrix","Matrix","1.5-3"
"MatrixModels","MatrixModels","0.5-1"
"matrixStats","matrixStats","0.63.0"
"memoise","memoise","2.0.1"
"mime","mime","0.12"
"miniUI","miniUI","0.1.1.1"
"minqa","minqa","1.2.5"
"modelr","modelr","0.1.10"
"munsell","munsell","0.5.0"
"numDeriv","numDeriv","2016.8-1.1"
"openssl","openssl","2.0.4"
"pbkrtest","pbkrtest","0.5.1"
"pillar","pillar","1.8.1"
"pkgbuild","pkgbuild","1.4.0"
"pkgconfig","pkgconfig","2.0.3"
"pkgdown","pkgdown","2.0.6"
"pkgload","pkgload","1.3.2"
"png","png","0.1-8"
"polyclip","polyclip","1.10-4"
"polynom","polynom","1.4-1"
"posterior","posterior","1.3.1"
"praise","praise","1.0.0"
"prettyunits","prettyunits","1.1.1"
"processx","processx","3.8.0"
"profvis","profvis","0.3.7"
"progress","progress","1.2.2"
"promises","promises","1.2.0.1"
"ps","ps","1.7.2"
"purrr","purrr","1.0.1"
"quantreg","quantreg","5.94"
"R6","R6","2.5.1"
"rappdirs","rappdirs","0.3.3"
"rcmdcheck","rcmdcheck","1.4.0"
"RColorBrewer","RColorBrewer","1.1-3"
"Rcpp","Rcpp","1.0.9"
"RcppEigen","RcppEigen","0.3.3.9.3"
"RcppParallel","RcppParallel","5.1.5"
"readr","readr","2.1.4"
"readxl","readxl","1.4.2"
"rematch","rematch","1.0.1"
"rematch2","rematch2","2.1.2"
"remotes","remotes","2.4.2"
"reprex","reprex","2.0.2"
"rethinking","rethinking","2.21"
"rlang","rlang","1.0.6"
"rmarkdown","rmarkdown","2.18"
"roxygen2","roxygen2","7.2.2"
"rprojroot","rprojroot","2.0.3"
"rstan","rstan","2.21.7"
"rstatix","rstatix","0.7.1"
"rstudioapi","rstudioapi","0.14"
"rversions","rversions","2.1.2"
"rvest","rvest","1.0.3"
"sass","sass","0.4.4"
"scales","scales","1.2.1"
"selectr","selectr","0.4-2"
"sessioninfo","sessioninfo","1.2.2"
"shape","shape","1.4.6"
"shiny","shiny","1.7.3"
"shinyjs","shinyjs","2.1.0"
"sourcetools","sourcetools","0.1.7"
"SparseM","SparseM","1.81"
"StanHeaders","StanHeaders","2.21.0-7"
"stringi","stringi","1.7.12"
"stringr","stringr","1.5.0"
"svglite","svglite","2.1.0"
"sys","sys","3.4.1"
"systemfonts","systemfonts","1.0.4"
"tensorA","tensorA","0.36.2"
"testthat","testthat","3.1.5"
"tibble","tibble","3.1.8"
"tidygraph","tidygraph","1.2.3"
"tidyr","tidyr","1.3.0"
"tidyselect","tidyselect","1.2.0"
"tidyverse","tidyverse","1.3.2"
"timechange","timechange","0.1.1"
"tinytex","tinytex","0.42"
"tweenr","tweenr","2.0.2"
"tzdb","tzdb","0.3.0"
"urlchecker","urlchecker","1.0.1"
"usethis","usethis","2.1.6"
"utf8","utf8","1.2.2"
"uuid","uuid","1.1-0"
"V8","V8","4.3.0"
"vctrs","vctrs","0.5.2"
"viridis","viridis","0.6.2"
"viridisLite","viridisLite","0.4.1"
"vroom","vroom","1.6.0"
"waldo","waldo","0.4.0"
"webshot","webshot","0.5.4"
"whisker","whisker","0.4"
"withr","withr","2.5.0"
"xfun","xfun","0.35"
"xml2","xml2","1.3.3"
"xopen","xopen","1.0.0"
"xtable","xtable","1.8-4"
"yaml","yaml","2.3.6"
"zip","zip","2.2.2"
"abind.1","abind","1.4-5"
"acepack","acepack","1.4.1"
"askpass.1","askpass","1.1"
"assertthat.1","assertthat","0.2.1"
"av","av","0.8.0"
"backports.1","backports","1.4.1"
"base64enc.1","base64enc","0.1-3"
